Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-02-19 04:15:00+00:00,28.079999923706055,28.079999923706055,28.079999923706055,28.079999923706055,0,0.0,0.0,0.0
2024-02-20 01:15:00+00:00,28.15999984741211,28.260000228881836,28.15999984741211,28.260000228881836,2000,0.0,0.0,0.0
2024-02-21 02:30:00+00:00,28.110000610351562,28.110000610351562,28.110000610351562,28.110000610351562,0,0.0,0.0,0.0
2024-02-21 02:45:00+00:00,28.200000762939453,28.200000762939453,28.200000762939453,28.200000762939453,0,0.0,0.0,0.0
2024-02-22 01:45:00+00:00,28.18000030517578,28.290000915527344,28.18000030517578,28.290000915527344,3000,0.0,0.0,0.0
2024-02-23 01:45:00+00:00,28.299999237060547,28.329999923706055,28.299999237060547,28.329999923706055,97000,0.0,0.0,0.0
2024-02-23 03:30:00+00:00,28.270000457763672,28.270000457763672,28.270000457763672,28.270000457763672,4000,0.0,0.0,0.0
2024-02-23 03:40:00+00:00,28.34000015258789,28.34000015258789,28.34000015258789,28.34000015258789,1000,0.0,0.0,0.0
2024-03-01 04:40:00+00:00,28.229999542236328,28.350000381469727,28.229999542236328,28.350000381469727,0,0.0,0.0,0.0
2024-03-07 01:10:00+00:00,27.959999084472656,27.959999084472656,27.959999084472656,27.959999084472656,7000,0.0,0.0,0.0
2024-03-18 01:10:00+00:00,28.209999084472656,28.209999084472656,28.209999084472656,28.209999084472656,10000,0.0,0.0,0.0
2024-03-18 02:05:00+00:00,28.190000534057617,28.190000534057617,28.190000534057617,28.190000534057617,0,0.0,0.0,0.0
2024-03-19 03:40:00+00:00,28.229999542236328,28.229999542236328,28.190000534057617,28.229999542236328,2000,0.0,0.0,0.0
2024-03-20 01:25:00+00:00,28.459999084472656,28.459999084472656,28.459999084472656,28.459999084472656,0,0.0,0.0,0.0
2024-03-21 05:10:00+00:00,28.3700008392334,28.3700008392334,28.3700008392334,28.3700008392334,0,0.0,0.0,0.0
2024-04-09 01:40:00+00:00,28.59000015258789,28.59000015258789,28.59000015258789,28.59000015258789,2000,0.0,0.0,0.0
2024-04-15 04:55:00+00:00,29.06999969482422,29.06999969482422,29.06999969482422,29.06999969482422,0,0.0,0.0,0.0
Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-04-15 04:55:00+00:00,29.06999969482422,29.06999969482422,29.06999969482422,29.06999969482422,1000,0.0,0.0,0.0
Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-04-15 04:55:00+00:00,29.06999969482422,29.06999969482422,29.06999969482422,29.06999969482422,1000,0.0,0.0,0.0
Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-04-15 04:55:00+00:00,29.06999969482422,29.06999969482422,29.06999969482422,29.06999969482422,0,0.0,0.0,0.0
2024-04-17 01:05:00+00:00,29.420000076293945,29.420000076293945,29.420000076293945,29.420000076293945,0,0.0,0.0,0.0
2024-04-17 04:40:00+00:00,29.420000076293945,29.420000076293945,29.420000076293945,29.420000076293945,1000,0.0,0.0,0.0
2024-04-17 04:50:00+00:00,29.420000076293945,29.420000076293945,29.420000076293945,29.420000076293945,0,0.0,0.0,0.0
